생태구명,정점명,관측년도,관측월,수심(m),수온(℃),염분,이전정점명
대한해협,BK1325,2025,11,1.0,16.68,31.06,마산만12
대한해협,BK1325,2025,11,2.0,16.74,31.13,마산만12
대한해협,BK1325,2025,08,1.0,27.82,26.92,마산만12
대한해협,BK1325,2025,08,2.0,24.80,29.54,마산만12
대한해협,BK1325,2025,08,4.0,23.99,30.42,마산만12
대한해협,BK1325,2025,08,5.0,23.83,30.39,마산만12
대한해협,BK1325,2025,05,1.0,17.05,31.62,마산만12
대한해협,BK1325,2025,05,2.0,16.95,31.99,마산만12
대한해협,BK1325,2025,05,3.0,16.90,32.08,마산만12
대한해협,BK1325,2025,02,1.0,6.01,32.41,마산만12
대한해협,BK1325,2025,02,2.0,6.07,32.51,마산만12
대한해협,BK1325,2025,02,4.0,6.11,32.54,마산만12
대한해협,BK1325,2024,11,1.0,19.49,30.41,마산만12
대한해협,BK1325,2024,11,2.0,19.58,30.45,마산만12
대한해협,BK1325,2024,11,4.0,19.62,30.47,마산만12
대한해협,BK1325,2024,08,1.0,29.37,29.82,마산만12
대한해협,BK1325,2024,08,2.0,28.56,30.59,마산만12
대한해협,BK1325,2024,08,3.0,28.46,30.58,마산만12
대한해협,BK1325,2024,05,1.0,16.23,31.02,마산만12
대한해협,BK1325,2024,05,2.0,16.03,31.30,마산만12
대한해협,BK1325,2024,05,3.0,15.96,31.37,마산만12
대한해협,BK1325,2024,02,1.0,6.76,32.34,마산만12
대한해협,BK1325,2024,02,2.0,6.72,32.61,마산만12
대한해협,BK1325,2024,02,3.0,6.71,32.62,마산만12
대한해협,BK1325,2023,11,1.0,19.98,31.32,마산만12
대한해협,BK1325,2023,11,2.0,19.72,31.83,마산만12
대한해협,BK1325,2023,11,3.0,19.64,31.85,마산만12
대한해협,BK1325,2023,08,1.0,24.68,27.23,마산만12
대한해협,BK1325,2023,08,2.0,23.44,27.99,마산만12
대한해협,BK1325,2023,05,1.0,19.55,31.16,마산만12
대한해협,BK1325,2023,05,2.0,18.98,31.47,마산만12
대한해협,BK1325,2023,02,1.0,5.33,32.76,마산만12
대한해협,BK1325,2023,02,2.0,5.29,32.78,마산만12
대한해협,BK1325,2023,02,4.0,5.28,32.78,마산만12
대한해협,BK1325,2022,11,1.0,15.67,31.66,마산만12
대한해협,BK1325,2022,11,2.0,15.80,31.77,마산만12
대한해협,BK1325,2022,11,4.0,16.07,32.03,마산만12
대한해협,BK1325,2022,08,1.0,23.89,30.55,마산만12
대한해협,BK1325,2022,08,2.0,22.64,31.60,마산만12
대한해협,BK1325,2022,08,4.0,21.47,32.51,마산만12
대한해협,BK1325,2022,08,5.0,21.34,32.58,마산만12
대한해협,BK1325,2022,05,1.0,18.62,31.25,마산만12
대한해협,BK1325,2022,05,2.0,18.04,32.19,마산만12
대한해협,BK1325,2022,05,4.0,17.45,32.29,마산만12
대한해협,BK1325,2022,02,1.0,4.83,32.01,마산만12
대한해협,BK1325,2022,02,2.0,5.20,32.86,마산만12
대한해협,BK1325,2022,02,3.0,5.36,32.93,마산만12
대한해협,BK1325,2021,11,1.0,15.78,32.51,마산만12
대한해협,BK1325,2021,11,2.0,15.77,32.51,마산만12
대한해협,BK1325,2021,11,3.0,15.78,32.51,마산만12
대한해협,BK1325,2021,08,1.0,28.73,29.00,마산만12
대한해협,BK1325,2021,08,2.0,28.55,29.48,마산만12
대한해협,BK1325,2021,08,3.0,28.44,29.52,마산만12
대한해협,BK1325,2021,05,1.0,19.27,29.19,마산만12
대한해협,BK1325,2021,05,2.0,18.87,31.91,마산만12
대한해협,BK1325,2021,05,3.0,18.79,32.00,마산만12
대한해협,BK1325,2021,02,1.0,6.43,32.80,마산만12
대한해협,BK1325,2021,02,2.0,6.23,32.82,마산만12
대한해협,BK1325,2021,02,3.0,6.22,32.83,마산만12
대한해협,BK1325,2020,11,1.0,17.72,31.17,마산만12
대한해협,BK1325,2020,11,2.0,17.68,31.15,마산만12
대한해협,BK1325,2020,08,1.0,27.45,14.48,마산만12
대한해협,BK1325,2020,08,2.0,26.52,18.81,마산만12
대한해협,BK1325,2020,08,3.0,26.11,20.25,마산만12
